review_id,user_id,isbn,review_title,review_content,status
16,readerPro,9791161752556,다시 읽고 싶은 감동적인 책입니다.,"어느새 자바 생태계의 주류 언어로 자리매김한 코틀린 언어를 바탕으로 마이크로서비스와 리액티브에 대해 알아본다. 기본 개념, 작동 원리와 장점을 살펴보는 것을 시작으로 스프링 부트 기반으로 마이크로서비스를 쉽게 만들어보고, 스프링 웹플럭스(WebFlux)를 사용해 넌블로 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
17,jsExpert,9791162242995,독특한 시각과 접근이 돋보입니다.,"웹 애플리케이션을 효과적으로 구현하는 실무 비법 대방출

스프링 부트로 웹 개발을 할 때 마주치는 문제를 속 시원하게 해결하고 싶다면 이 책이 답이다. 스프링 부트에서 자주 발생하는 문제의 해결 방법부터 웹플럭스 사용법까지 실무에 꼭 필요한 내용만 담았다. 웹 개발 경 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
18,fantasyFan,9791158391850,다시 읽고 싶은 감동적인 책입니다.,"프런트엔드와 백엔드 웹 개발에서 스프링과 Vue를 사용해 효율성을 높이자!

이 책은 실용적인 접근법으로 풀스택 웹 개발자가 되는 데 도움을 줍니다. 개발자는 프런트엔드와 백엔드 코드를 작성하는 방법을 아는 것은 물론이고, 애플리케이션에 대한 아이디어부터 시작해 UI, 이 책은 정말로 추천할만합니다.",ACTIVE
19,codeLover,9791189184117,독서의 즐거움을 깨닫게 하는 이야기입니다.,"리액트와 스프링 부트를 이용해서 프런트 엔드와 백 엔드를 분리한다면?
이 책은 리액트의 문법이나 기능을 다루는 책이 아닙니다. 이 책에서 다루는 주제는 '리액트를 어떻게 활용하는가'입니다. 리액트는 많은 기능을 제공하지만, 그 자체로 프레임워크는 아니기 때문에 설계의  이 책은 정말로 추천할만합니다.",ACTIVE
20,jsExpert,9791161758558,독자들에게 큰 교훈을 주는 책입니다.,"기존 일체형 애플리케이션을 마이크로서비스로 나누고 온프레미스나 클라우드로 배포하려는 자바, 스프링 개발자와 아키텍트를 위한 책이다.
스프링 부트, 스프링 클라우드와 도커, 쿠버네티스, 이스티오, EFK 스택, 프로메테우스, 그라파나 등의 오픈소스 도구를 조합해 마이크로 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
21,fantasyFan,9791161754673,감동과 여운이 가득한 책입니다.,"★ 요약 ★

기존 일체형 애플리케이션을 마이크로서비스로 나누고 온프레미스나 클라우드로 배포하려는 자바, 스프링 개발자와 아키텍트를 위한 책이다. 
스프링 부트, 스프링 클라우드와 도커, 쿠버네티스, 이스티오, EFK 스택, 프로메테우스, 그라파나 등의 오픈 소스 도구 이 책은 정말로 깊이 있는 내용을 담고 있습니다.",ACTIVE
22,nonFicReader,9791161758633,독특한 시각과 접근이 돋보입니다.,"스프링 부트 3에 대한 포괄적인 가이드로, 초보자부터 숙련된 개발자까지 모든 수준의 독자들이 활용할 수 있도록 구성돼 있다. 복잡한 인프라 설정을 피하고 효율적인 개발 방법에 초점을 맞춰 웹 애플리케이션 개발의 기초부터 고급 주제까지 다룬다. 주요 내용으로는 빠른 애플 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
23,jsExpert,9791141031527,흥미롭고 깊이 있는 이야기입니다.,"하루만 투자하면 스프링 부트로 웹 어플리케이션을 만드는 과정을 따라할 수 있습니다.

이 글은 스프링 부트를 이용해 웹을 개발하는 방법을 최대한 간결하게 설명합니다. 
복잡한 이론보다는 툴과 프레임워크 사용법에 촛점을 맞추고 하나씩 따라할 수 있도록 구성했습니다.
간단 이 책은 정말로 추천할만합니다.",ACTIVE
24,q1w2e3,9791195484577,독특한 시각과 접근이 돋보입니다.,"이 책은 Spring Boot와 Spring Data JPA, Thymeleaf를 이용해서 프로젝트를 사용하는 방법에 대해 설명한다. 대상 독자는 Spring 프레임워크를 어느 정도 학습해본 초급 개발자들을 대상으로 현실적인 개발 가이드를 제공하는 것을 목표로 하고 있 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
25,springBooter,9791191905298,독서를 멈출 수 없게 만드는 작품입니다.,"★ 자바 백엔드 개발자가 되고 싶다면
★ 자바 언어 입문 그다음에 꼭 보세요실력을 갖춘 개발자로 성장하려면 시작이 중요합니다. 그래서 이 책은 무엇부터 익혀야 하는지 막막한 입문자에게 백엔드 개발의 필수 지식을 학습 로드맵 중심으로 설명합니다. 이어서 스프링 부트 3  이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
26,litLover,9791161754673,마음에 잔잔한 울림을 남깁니다.,"★ 요약 ★

기존 일체형 애플리케이션을 마이크로서비스로 나누고 온프레미스나 클라우드로 배포하려는 자바, 스프링 개발자와 아키텍트를 위한 책이다. 
스프링 부트, 스프링 클라우드와 도커, 쿠버네티스, 이스티오, EFK 스택, 프로메테우스, 그라파나 등의 오픈 소스 도구 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
27,readerPro,9791161756776,독서의 즐거움을 깨닫게 하는 이야기입니다.,다수의 사용자를 지원하는 Todo 웹 애플리케이션을 구현하고 배포한다. 또한 현장에서 많이 사용하는 프론트엔드와 백엔드 서버가 분리된 아키텍처(Decoupled Architecture)를 구현한다. 또한 배포 시 단순히 로컬 환경이나 임시 HTTP 서버로 배포하는 데  이 책은 정말로 읽을 가치가 충분합니다.,ACTIVE
28,javaCoder,9791141031527,독서의 즐거움을 깨닫게 하는 이야기입니다.,"하루만 투자하면 스프링 부트로 웹 어플리케이션을 만드는 과정을 따라할 수 있습니다.

이 글은 스프링 부트를 이용해 웹을 개발하는 방법을 최대한 간결하게 설명합니다. 
복잡한 이론보다는 툴과 프레임워크 사용법에 촛점을 맞추고 하나씩 따라할 수 있도록 구성했습니다.
간단 이 책은 정말로 깊이 있는 내용을 담고 있습니다.",ACTIVE
29,springBooter,9791140705078,독서의 즐거움을 깨닫게 하는 이야기입니다.,"스프링 부트 백엔드 개발,
실습 문턱을 낮추고 자신 있게 시작하자!

스프링 부트를 처음 접하는 입문자와 이미 공부했지만 부족하다고 느끼는 분들을 위한 책입니다. 게시판을 만들며 클라이언트와 서버가 데이터를 주고받을 때 적용되는 핵심 개념 3가지, MVC 패턴, JPA 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
30,typeScriptFan,9791161758633,독자들에게 큰 교훈을 주는 책입니다.,"스프링 부트 3에 대한 포괄적인 가이드로, 초보자부터 숙련된 개발자까지 모든 수준의 독자들이 활용할 수 있도록 구성돼 있다. 복잡한 인프라 설정을 피하고 효율적인 개발 방법에 초점을 맞춰 웹 애플리케이션 개발의 기초부터 고급 주제까지 다룬다. 주요 내용으로는 빠른 애플 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
31,readerPro,9788968487590,독서의 즐거움을 깨닫게 하는 이야기입니다.,"생산성 향상을 꿈꾸는 현업 개발자를 위한 스프링 부트 실무 가이드!

스프링 부트는 ‘최소한의 노력으로 스프링 기반 프로젝트를 시작할 수 있는’ 기술이다. 강력한 스프링 기능을 바탕으로 많은 코드 작성 없이도 바로 출시가 가능한 수준의 앱을 간편하게 만들 수 있다. 
 이 책은 정말로 깊이 있는 내용을 담고 있습니다.",ACTIVE
32,nonFicReader,9791161758633,감동과 여운이 가득한 책입니다.,"스프링 부트 3에 대한 포괄적인 가이드로, 초보자부터 숙련된 개발자까지 모든 수준의 독자들이 활용할 수 있도록 구성돼 있다. 복잡한 인프라 설정을 피하고 효율적인 개발 방법에 초점을 맞춰 웹 애플리케이션 개발의 기초부터 고급 주제까지 다룬다. 주요 내용으로는 빠른 애플 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
33,fullstack21,9791141031527,마음에 잔잔한 울림을 남깁니다.,"하루만 투자하면 스프링 부트로 웹 어플리케이션을 만드는 과정을 따라할 수 있습니다.

이 글은 스프링 부트를 이용해 웹을 개발하는 방법을 최대한 간결하게 설명합니다. 
복잡한 이론보다는 툴과 프레임워크 사용법에 촛점을 맞추고 하나씩 따라할 수 있도록 구성했습니다.
간단 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
34,reader21,9791161758633,삶의 지혜를 느낄 수 있는 작품입니다.,"스프링 부트 3에 대한 포괄적인 가이드로, 초보자부터 숙련된 개발자까지 모든 수준의 독자들이 활용할 수 있도록 구성돼 있다. 복잡한 인프라 설정을 피하고 효율적인 개발 방법에 초점을 맞춰 웹 애플리케이션 개발의 기초부터 고급 주제까지 다룬다. 주요 내용으로는 빠른 애플 이 책은 정말로 추천할만합니다.",ACTIVE
35,codeLover,9791192987675,삶의 지혜를 느낄 수 있는 작품입니다.,"클라우드 환경에 스프링 애플리케이션을 구축하는 효과적인 방법

클라우드 기술이 발달하면서 많은 애플리케이션이 클라우드에서 서비스되고 있다. 이 책에서는 가상의 온라인 서점 시스템을 개발하며 클라우드 환경에 애플리케이션을 어떻게 구축하는지 상세히 설명한다. 스프링으로 클 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
36,fantasyFan,9791191905298,마음에 잔잔한 울림을 남깁니다.,"★ 자바 백엔드 개발자가 되고 싶다면
★ 자바 언어 입문 그다음에 꼭 보세요실력을 갖춘 개발자로 성장하려면 시작이 중요합니다. 그래서 이 책은 무엇부터 익혀야 하는지 막막한 입문자에게 백엔드 개발의 필수 지식을 학습 로드맵 중심으로 설명합니다. 이어서 스프링 부트 3  이 책은 정말로 깊이 있는 내용을 담고 있습니다.",ACTIVE
37,jsExpert,9791161756776,삶의 지혜를 느낄 수 있는 작품입니다.,다수의 사용자를 지원하는 Todo 웹 애플리케이션을 구현하고 배포한다. 또한 현장에서 많이 사용하는 프론트엔드와 백엔드 서버가 분리된 아키텍처(Decoupled Architecture)를 구현한다. 또한 배포 시 단순히 로컬 환경이나 임시 HTTP 서버로 배포하는 데  이 책은 정말로 추천할만합니다.,ACTIVE
38,reader21,9791192987354,흥미롭고 깊이 있는 이야기입니다.,"인류에겐 이런 스프링 부트 가이드북이 필요했다

방대한 스프링 부트 공식 문서 중 실무에서 잘 쓰이는 팁을 찾기란 어렵다. 이 책은 초급에서 중급 수준의 독자를 대상으로 스프링 부트의 기본 개념부터 다양한 기능을 효과적으로 사용하는 고급 개념까지 알려주며, 실무에서 겪 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
39,javaCoder,9791141097547,독서의 즐거움을 깨닫게 하는 이야기입니다.,"자바와 파이썬을 연결하는 방법을 응용하여 다양한 AI 서비스 구축 환경에 활용할 수 있습니다.
- 파이썬 FastAPI와 자바 스프링 부트를 이용한 웹 애플리케이션 프로젝트를 설명합니다.
- 자바 웹 애플리케이션과 파이썬 웹 애플리케이션 간의 정보 교환 방법을 설명합니 이 책은 정말로 추천할만합니다.",ACTIVE
40,codeLover,9791140700448,삶의 지혜를 느낄 수 있는 작품입니다.,"이론은 탄탄하게, 실습은 실무에 가깝게!
스프링 부트와 스프링 클라우드를 이용한 모범 사례를 직접 실행하며 
마이크로서비스의 개념을 확실하게 익히자!

마이크로서비스는 서비스 개발, 그 이상(클라우드, 인프라, 자동화, 테스팅, 회복성, 보안, 인증, 로깅, 모니터링, 이 책은 정말로 추천할만합니다.",ACTIVE
